Date,Delivery Period (EET),Price (EUR/MWh)
10-04-2025,01:00,27.64
10-04-2025,02:00,27.61
10-04-2025,03:00,28.51
10-04-2025,04:00,29.6
10-04-2025,05:00,22.08
10-04-2025,06:00,92.02
10-04-2025,07:00,129.37
10-04-2025,08:00,174.97
10-04-2025,09:00,136.58
10-04-2025,10:00,90.49
10-04-2025,11:00,44.16
10-04-2025,12:00,30.15
10-04-2025,13:00,27.92
10-04-2025,14:00,4.94
10-04-2025,15:00,3.44
10-04-2025,16:00,7.08
10-04-2025,17:00,8.68
10-04-2025,18:00,42.15
10-04-2025,19:00,108.41
10-04-2025,20:00,227.52
10-04-2025,21:00,227.59
10-04-2025,22:00,138.98
10-04-2025,23:00,98.11
11-04-2025,00:00,22.08
