Date,Delivery Period (EET),Price (EUR/MWh)
11-04-2025,01:00,13.15
11-04-2025,01:15,13.15
11-04-2025,01:30,13.15
11-04-2025,01:45,13.15
11-04-2025,02:00,10.66
11-04-2025,02:15,10.66
11-04-2025,02:30,10.66
11-04-2025,02:45,10.66
11-04-2025,03:00,10.68
11-04-2025,03:15,10.68
11-04-2025,03:30,10.68
11-04-2025,03:45,10.68
11-04-2025,04:00,8.19
11-04-2025,04:15,8.19
11-04-2025,04:30,8.19
11-04-2025,04:45,8.19
11-04-2025,05:00,8.19
11-04-2025,05:15,8.19
11-04-2025,05:30,8.19
11-04-2025,05:45,8.19
11-04-2025,06:00,76.75
11-04-2025,06:15,76.75
11-04-2025,06:30,76.75
11-04-2025,06:45,76.75
11-04-2025,07:00,99.68
11-04-2025,07:15,99.68
11-04-2025,07:30,99.68
11-04-2025,07:45,99.68
11-04-2025,08:00,168.6
11-04-2025,08:15,168.6
11-04-2025,08:30,168.6
11-04-2025,08:45,168.6
11-04-2025,09:00,209.2
11-04-2025,09:15,209.2
11-04-2025,09:30,209.2
11-04-2025,09:45,209.2
11-04-2025,10:00,85.63
11-04-2025,10:15,85.63
11-04-2025,10:30,85.63
11-04-2025,10:45,85.63
11-04-2025,11:00,99.93
11-04-2025,11:15,99.93
11-04-2025,11:30,99.93
11-04-2025,11:45,99.93
11-04-2025,12:00,29.99
11-04-2025,12:15,29.99
11-04-2025,12:30,29.99
11-04-2025,12:45,29.99
11-04-2025,13:00,22.04
11-04-2025,13:15,22.04
11-04-2025,13:30,22.04
11-04-2025,13:45,22.04
11-04-2025,14:00,10.07
11-04-2025,14:15,10.07
11-04-2025,14:30,10.07
11-04-2025,14:45,10.07
11-04-2025,15:00,9.09
11-04-2025,15:15,9.09
11-04-2025,15:30,9.09
11-04-2025,15:45,9.09
11-04-2025,16:00,12.21
11-04-2025,16:15,12.21
11-04-2025,16:30,12.21
11-04-2025,16:45,12.21
11-04-2025,17:00,30.01
11-04-2025,17:15,30.01
11-04-2025,17:30,30.01
11-04-2025,17:45,30.01
11-04-2025,18:00,75.95
11-04-2025,18:15,75.95
11-04-2025,18:30,75.95
11-04-2025,18:45,75.95
11-04-2025,19:00,130.0
11-04-2025,19:15,130.0
11-04-2025,19:30,130.0
11-04-2025,19:45,130.0
11-04-2025,20:00,182.95
11-04-2025,20:15,182.95
11-04-2025,20:30,182.95
11-04-2025,20:45,182.95
11-04-2025,21:00,176.85
11-04-2025,21:15,176.85
11-04-2025,21:30,176.85
11-04-2025,21:45,176.85
11-04-2025,22:00,140.08
11-04-2025,22:15,140.08
11-04-2025,22:30,140.08
11-04-2025,22:45,140.08
11-04-2025,23:00,73.49
11-04-2025,23:15,73.49
11-04-2025,23:30,73.49
11-04-2025,23:45,73.49
12-04-2025,00:00,35.47
12-04-2025,00:15,35.47
12-04-2025,00:30,35.47
12-04-2025,00:45,35.47
